,frame,time,cell number,voltage,resistance,current,power,temperature_1,temperature_2
135,20,11.0,cell_3,4.0520000000000005,0.301,0.311,7.558544,6353.6,6353.6
136,20,11.0,cell_4,4.049,0.301,0.311,7.558544,6353.6,6353.6
137,20,11.0,cell_5,4.048,0.301,0.311,7.558544,6353.6,6353.6
138,20,11.0,cell_6,4.048,0.302,0.311,7.558544,6353.6,6353.6
139,20,11.0,cell_average,4.050666666666667,0.30166666666666664,0.311,7.558544,6353.6,6353.6
140,21,11.5,cell_1,4.055,0.303,0.311,7.558854999999999,6353.6,6353.6
141,21,11.5,cell_2,4.0520000000000005,0.302,0.311,7.558854999999999,6353.6,6353.6
142,21,11.5,cell_3,4.0520000000000005,0.301,0.311,7.558854999999999,6353.6,6353.6
143,21,11.5,cell_4,4.049,0.301,0.311,7.558854999999999,6353.6,6353.6
144,21,11.5,cell_5,4.049,0.301,0.311,7.558854999999999,6353.6,6353.6
145,21,11.5,cell_6,4.048,0.302,0.311,7.558854999999999,6353.6,6353.6
146,21,11.5,cell_average,4.050833333333333,0.30166666666666664,0.311,7.558854999999999,6353.6,6353.6
147,22,12.0,cell_1,4.063,0.303,0.311,7.573161,6353.6,6353.6
148,22,12.0,cell_2,4.059,0.302,0.311,7.573161,6353.6,6353.6
149,22,12.0,cell_3,4.059,0.301,0.311,7.573161,6353.6,6353.6
150,22,12.0,cell_4,4.0600000000000005,0.301,0.311,7.573161,6353.6,6353.6
151,22,12.0,cell_5,4.055,0.301,0.311,7.573161,6353.6,6353.6
152,22,12.0,cell_6,4.055,0.302,0.311,7.573161,6353.6,6353.6
153,22,12.0,cell_average,4.0584999999999996,0.30166666666666664,0.311,7.573161,6353.6,6353.6
154,23,12.5,cell_1,4.063,0.303,0.0,0.0,6353.6,6353.6
155,23,12.5,cell_2,4.059,0.302,0.0,0.0,6353.6,6353.6
156,23,12.5,cell_3,4.059,0.301,0.0,0.0,6353.6,6353.6
157,23,12.5,cell_4,4.0600000000000005,0.301,0.0,0.0,6353.6,6353.6
158,23,12.5,cell_5,4.055,0.301,0.0,0.0,6353.6,6353.6
159,23,12.5,cell_6,4.057,0.302,0.0,0.0,6353.6,6353.6
160,23,12.5,cell_average,4.058833333333333,0.30166666666666664,0.0,0.0,6353.6,6353.6
161,24,13.0,cell_1,4.064,0.303,0.0,0.0,6353.6,6353.6
162,24,13.0,cell_2,4.059,0.302,0.0,0.0,6353.6,6353.6
163,24,13.0,cell_3,4.0600000000000005,0.301,0.0,0.0,6353.6,6353.6
164,24,13.0,cell_4,4.0600000000000005,0.301,0.0,0.0,6353.6,6353.6
165,24,13.0,cell_5,4.055,0.301,0.0,0.0,6353.6,6353.6
166,24,13.0,cell_6,4.057,0.302,0.0,0.0,6353.6,6353.6
167,24,13.0,cell_average,4.059166666666667,0.30166666666666664,0.0,0.0,6353.6,6353.6
168,25,13.5,cell_1,4.064,0.303,0.0,0.0,6353.6,6353.6
169,25,13.5,cell_2,4.059,0.302,0.0,0.0,6353.6,6353.6
170,25,13.5,cell_3,4.0600000000000005,0.301,0.0,0.0,6353.6,6353.6
171,25,13.5,cell_4,4.061,0.301,0.0,0.0,6353.6,6353.6
172,25,13.5,cell_5,4.057,0.301,0.0,0.0,6353.6,6353.6
173,25,13.5,cell_6,4.057,0.302,0.0,0.0,6353.6,6353.6
174,25,13.5,cell_average,4.059666666666668,0.30166666666666664,0.0,0.0,6353.6,6353.6
175,26,14.0,cell_1,4.065,0.303,0.0,0.0,6353.6,6353.6
176,26,14.0,cell_2,4.059,0.302,0.0,0.0,6353.6,6353.6
177,26,14.0,cell_3,4.0600000000000005,0.301,0.0,0.0,6353.6,6353.6
178,26,14.0,cell_4,4.061,0.301,0.0,0.0,6353.6,6353.6
179,26,14.0,cell_5,4.057,0.301,0.0,0.0,6353.6,6353.6
180,26,14.0,cell_6,4.057,0.302,0.0,0.0,6353.6,6353.6
181,26,14.0,cell_average,4.059833333333334,0.30166666666666664,0.0,0.0,6353.6,6353.6
182,27,14.5,cell_1,4.065,0.303,0.0,0.0,6353.6,6353.6
183,27,14.5,cell_2,4.0600000000000005,0.302,0.0,0.0,6353.6,6353.6
184,27,14.5,cell_3,4.0600000000000005,0.301,0.0,0.0,6353.6,6353.6
185,27,14.5,cell_4,4.061,0.301,0.0,0.0,6353.6,6353.6
186,27,14.5,cell_5,4.057,0.301,0.0,0.0,6353.6,6353.6
187,27,14.5,cell_6,4.057,0.302,0.0,0.0,6353.6,6353.6
188,27,14.5,cell_average,4.060000000000001,0.30166666666666664,0.0,0.0,6353.6,6353.6
189,28,15.0,cell_1,4.066,0.303,0.0,0.0,6353.6,6353.6
190,28,15.0,cell_2,4.059,0.302,0.0,0.0,6353.6,6353.6
191,28,15.0,cell_3,4.0600000000000005,0.301,0.0,0.0,6353.6,6353.6
192,28,15.0,cell_4,4.061,0.301,0.0,0.0,6353.6,6353.6
193,28,15.0,cell_5,4.057,0.301,0.0,0.0,6353.6,6353.6
194,28,15.0,cell_6,4.057,0.302,0.0,0.0,6353.6,6353.6
195,28,15.0,cell_average,4.060000000000001,0.30166666666666664,0.0,0.0,6353.6,6353.6
196,29,15.5,cell_1,4.058,0.303,0.0,0.0,6353.6,6353.6
197,29,15.5,cell_2,4.053,0.302,0.0,0.0,6353.6,6353.6
198,29,15.5,cell_3,4.053,0.301,0.0,0.0,6353.6,6353.6
199,29,15.5,cell_4,4.049,0.301,0.0,0.0,6353.6,6353.6
200,29,15.5,cell_5,4.049,0.301,0.0,0.0,6353.6,6353.6
201,29,15.5,cell_6,4.049,0.302,0.0,0.0,6353.6,6353.6
202,29,15.5,cell_average,4.051833333333334,0.30166666666666664,0.0,0.0,6353.6,6353.6
203,30,16.0,cell_1,4.057,0.303,0.0,0.0,6353.6,6353.6
204,30,16.0,cell_2,4.0520000000000005,0.302,0.0,0.0,6353.6,6353.6
205,30,16.0,cell_3,4.053,0.301,0.0,0.0,6353.6,6353.6
206,30,16.0,cell_4,4.049,0.301,0.0,0.0,6353.6,6353.6
207,30,16.0,cell_5,4.049,0.301,0.0,0.0,6353.6,6353.6
208,30,16.0,cell_6,4.049,0.302,0.0,0.0,6353.6,6353.6
209,30,16.0,cell_average,4.0515,0.30166666666666664,0.0,0.0,6353.6,6353.6
210,31,17.0,cell_1,4.057,0.303,0.311,7.560409999999999,6353.6,6353.6
211,31,17.0,cell_2,4.053,0.302,0.311,7.560409999999999,6353.6,6353.6
212,31,17.0,cell_3,4.053,0.301,0.311,7.560409999999999,6353.6,6353.6
213,31,17.0,cell_4,4.049,0.301,0.311,7.560409999999999,6353.6,6353.6
214,31,17.0,cell_5,4.049,0.301,0.311,7.560409999999999,6353.6,6353.6
215,31,17.0,cell_6,4.049,0.302,0.311,7.560409999999999,6353.6,6353.6
216,31,17.0,cell_average,4.051666666666667,0.30166666666666664,0.311,7.560409999999999,6353.6,6353.6
217,32,17.5,cell_1,4.057,0.303,0.311,7.560099,6353.6,6353.6
218,32,17.5,cell_2,4.0520000000000005,0.302,0.311,7.560099,6353.6,6353.6
219,32,17.5,cell_3,4.053,0.301,0.311,7.560099,6353.6,6353.6
220,32,17.5,cell_4,4.049,0.301,0.311,7.560099,6353.6,6353.6
221,32,17.5,cell_5,4.049,0.301,0.311,7.560099,6353.6,6353.6
222,32,17.5,cell_6,4.049,0.302,0.311,7.560099,6353.6,6353.6
223,32,17.5,cell_average,4.0515,0.30166666666666664,0.311,7.560099,6353.6,6353.6
