,frame,cell number,voltage,resistance,current,power
334,48,cell_6,3.8040000000000003,0.303,6.149,141.35936099999998
335,48,cell_average,3.8314999999999997,0.30349999999999994,6.149,141.35936099999998
336,49,cell_1,3.888,0.305,6.149,141.34091399999997
337,49,cell_2,3.886,0.304,6.149,141.34091399999997
338,49,cell_3,3.888,0.303,6.149,141.34091399999997
339,49,cell_4,3.72,0.303,6.149,141.34091399999997
340,49,cell_5,3.8000000000000003,0.303,6.149,141.34091399999997
341,49,cell_6,3.8040000000000003,0.303,6.149,141.34091399999997
342,49,cell_average,3.8309999999999995,0.30349999999999994,6.149,141.34091399999997
343,50,cell_1,3.888,0.305,6.227,143.13382199999998
344,50,cell_2,3.886,0.304,6.227,143.13382199999998
345,50,cell_3,3.888,0.303,6.227,143.13382199999998
346,50,cell_4,3.72,0.303,6.227,143.13382199999998
347,50,cell_5,3.8000000000000003,0.303,6.227,143.13382199999998
348,50,cell_6,3.8040000000000003,0.303,6.227,143.13382199999998
349,50,cell_average,3.8309999999999995,0.30349999999999994,6.227,143.13382199999998
350,51,cell_1,3.8850000000000002,0.305,6.149,141.254828
351,51,cell_2,3.886,0.304,6.149,141.254828
352,51,cell_3,3.883,0.303,6.149,141.254828
353,51,cell_4,3.72,0.303,6.149,141.254828
354,51,cell_5,3.798,0.303,6.149,141.254828
355,51,cell_6,3.8000000000000003,0.303,6.149,141.254828
356,51,cell_average,3.828666666666667,0.30349999999999994,6.149,141.254828
357,52,cell_1,3.8850000000000002,0.305,6.149,141.254828
358,52,cell_2,3.886,0.304,6.149,141.254828
359,52,cell_3,3.883,0.303,6.149,141.254828
360,52,cell_4,3.72,0.303,6.149,141.254828
361,52,cell_5,3.798,0.303,6.149,141.254828
362,52,cell_6,3.8000000000000003,0.303,6.149,141.254828
363,52,cell_average,3.828666666666667,0.30349999999999994,6.149,141.254828
364,53,cell_1,3.884,0.305,6.227,142.96569300000002
365,53,cell_2,3.884,0.304,6.227,142.96569300000002
366,53,cell_3,3.884,0.303,6.227,142.96569300000002
367,53,cell_4,3.717,0.303,6.227,142.96569300000002
368,53,cell_5,3.795,0.303,6.227,142.96569300000002
369,53,cell_6,3.795,0.303,6.227,142.96569300000002
370,53,cell_average,3.8265000000000007,0.30349999999999994,6.227,142.96569300000002
371,54,cell_1,3.884,0.305,6.227,142.96569300000002
372,54,cell_2,3.884,0.304,6.227,142.96569300000002
373,54,cell_3,3.884,0.303,6.227,142.96569300000002
374,54,cell_4,3.717,0.303,6.227,142.96569300000002
375,54,cell_5,3.795,0.303,6.227,142.96569300000002
376,54,cell_6,3.795,0.303,6.227,142.96569300000002
