,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
286,41,cell_average,4.044,0.3123333333333333,0.0,0.0,22.5,22.3
287,42,cell_1,4.053,0.315,0.0,0.0,22.400000000000002,22.3
288,42,cell_2,4.057,0.312,0.0,0.0,22.400000000000002,22.3
289,42,cell_3,4.046,0.313,0.0,0.0,22.400000000000002,22.3
290,42,cell_4,4.029,0.313,0.0,0.0,22.400000000000002,22.3
291,42,cell_5,4.0360000000000005,0.309,0.0,0.0,22.400000000000002,22.3
292,42,cell_6,4.041,0.312,0.0,0.0,22.400000000000002,22.3
293,42,cell_average,4.043666666666667,0.3123333333333333,0.0,0.0,22.400000000000002,22.3
294,43,cell_1,4.053,0.315,0.0,0.0,22.400000000000002,22.3
295,43,cell_2,4.058,0.312,0.0,0.0,22.400000000000002,22.3
296,43,cell_3,4.0440000000000005,0.313,0.0,0.0,22.400000000000002,22.3
297,43,cell_4,4.029,0.313,0.0,0.0,22.400000000000002,22.3
298,43,cell_5,4.0360000000000005,0.309,0.0,0.0,22.400000000000002,22.3
299,43,cell_6,4.041,0.312,0.0,0.0,22.400000000000002,22.3
300,43,cell_average,4.043500000000001,0.3123333333333333,0.0,0.0,22.400000000000002,22.3
301,44,cell_1,4.053,0.315,0.0,0.0,22.400000000000002,22.3
302,44,cell_2,4.058,0.312,0.0,0.0,22.400000000000002,22.3
303,44,cell_3,4.0440000000000005,0.313,0.0,0.0,22.400000000000002,22.3
304,44,cell_4,4.029,0.313,0.0,0.0,22.400000000000002,22.3
305,44,cell_5,4.0360000000000005,0.309,0.0,0.0,22.400000000000002,22.3
306,44,cell_6,4.041,0.312,0.0,0.0,22.400000000000002,22.3
307,44,cell_average,4.043500000000001,0.3123333333333333,0.0,0.0,22.400000000000002,22.3
308,45,cell_1,4.053,0.315,0.0,0.0,22.400000000000002,22.3
309,45,cell_2,4.058,0.312,0.0,0.0,22.400000000000002,22.3
310,45,cell_3,4.0440000000000005,0.313,0.0,0.0,22.400000000000002,22.3
311,45,cell_4,4.029,0.313,0.0,0.0,22.400000000000002,22.3
312,45,cell_5,4.0360000000000005,0.309,0.0,0.0,22.400000000000002,22.3
313,45,cell_6,4.041,0.312,0.0,0.0,22.400000000000002,22.3
314,45,cell_average,4.043500000000001,0.3123333333333333,0.0,0.0,22.400000000000002,22.3
315,46,cell_1,4.053,0.315,0.0,0.0,22.400000000000002,22.3
316,46,cell_2,4.058,0.312,0.0,0.0,22.400000000000002,22.3
317,46,cell_3,4.0440000000000005,0.313,0.0,0.0,22.400000000000002,22.3
318,46,cell_4,4.029,0.313,0.0,0.0,22.400000000000002,22.3
319,46,cell_5,4.0360000000000005,0.309,0.0,0.0,22.400000000000002,22.3
320,46,cell_6,4.041,0.312,0.0,0.0,22.400000000000002,22.3
321,46,cell_average,4.043500000000001,0.3123333333333333,0.0,0.0,22.400000000000002,22.3
322,47,cell_1,4.053,0.315,0.0,0.0,22.400000000000002,22.3
323,47,cell_2,4.058,0.312,0.0,0.0,22.400000000000002,22.3
324,47,cell_3,4.0440000000000005,0.313,0.0,0.0,22.400000000000002,22.3
325,47,cell_4,4.029,0.313,0.0,0.0,22.400000000000002,22.3
326,47,cell_5,4.0360000000000005,0.309,0.0,0.0,22.400000000000002,22.3
327,47,cell_6,4.041,0.312,0.0,0.0,22.400000000000002,22.3
328,47,cell_average,4.043500000000001,0.3123333333333333,0.0,0.0,22.400000000000002,22.3
329,48,cell_1,4.053,0.315,0.0,0.0,22.400000000000002,22.3
330,48,cell_2,4.058,0.312,0.0,0.0,22.400000000000002,22.3
331,48,cell_3,4.0440000000000005,0.313,0.0,0.0,22.400000000000002,22.3
332,48,cell_4,4.029,0.313,0.0,0.0,22.400000000000002,22.3
333,48,cell_5,4.0360000000000005,0.309,0.0,0.0,22.400000000000002,22.3
334,48,cell_6,4.041,0.312,0.0,0.0,22.400000000000002,22.3
335,48,cell_average,4.043500000000001,0.3123333333333333,0.0,0.0,22.400000000000002,22.3
